 ,2,4,8,16,32,64
standard,"(0.3385423789015673, 0.6236757980730808, 0.10986547085201794, 0.6690731696488035, 0.8118378990365405, 0.554932735426009)","(0.6605847356036052, 0.7380255738578343, 0.5924699196377037, 0.8296459175065488, 0.8684522488123252, 0.7962349598188518)","(0.8493868489988012, 0.9352084535807841, 0.7418083736624783, 0.9237499445011765, 0.9654275629356658, 0.8699140878213383)","(0.8358491319984016, 0.8852106735337211, 0.77641965990321, 0.917416418771922, 0.9416152377569595, 0.888209829951605)","(0.8441397682369134, 0.8895484615726146, 0.7504151311992187, 0.9219708742174666, 0.9447742307863073, 0.8752075655996093)","(0.8519819739821516, 0.9023464902544066, 0.7739732717666385, 0.9255818496647871, 0.9501176575056608, 0.8869866358833193)"
reweight_sampling,"(0.9443289082271455, 0.9699196377036807, 0.8826177685033076, 0.9649864582870843, 0.9798494871908715, 0.9326965768325711)","(0.9445970785419349, 0.9686675842472139, 0.9100053278870488, 0.9683077298761266, 0.9757869733161657, 0.9533210495937486)","(0.9515100119877459, 0.9782333614527372, 0.9145051724903432, 0.9736176353061315, 0.9858189406384584, 0.9567575367402211)","(0.9350921280468854, 0.9478755050392931, 0.9255694179283399, 0.9667015939262087, 0.973442703014696, 0.961234071837677)","(0.9402406428983705, 0.9556653198952182, 0.9220174932291436, 0.9697111841228966, 0.977832659947609, 0.9605136971096213)","(0.9342245704391067, 0.9377281001642765, 0.9296030724148648, 0.9666769524486081, 0.968565466412112, 0.9648015362074324)"
discard,"(0.8838089952493008, 0.9268947298317276, 0.8330550992318964, 0.8768829640811615, 0.9291080229099142, 0.837162012165342)","(0.9087772499223016, 0.9622608000710384, 0.8662100963459575, 0.9169553345469076, 0.9315177818230254, 0.8821748878923767)","(0.9045486835679084, 0.943129245659992, 0.8580850685965458, 0.9018287972294987, 0.9423722417084758, 0.8684733383652267)","(0.9303019135994317, 0.9389801536207432, 0.9059139546241619, 0.9287528304399947, 0.9410469298050881, 0.9175620476845892)","(0.9449984460329441, 0.9590285485947698, 0.9180415575189806, 0.9373327265461973, 0.9548428273320606, 0.9172556941792834)","(0.9420898636948897, 0.9662211961106424, 0.8796208320383607, 0.9448501531767526, 0.9583658926430759, 0.9276384140656218)"
reweight_loss,"(0.9636908937530525, 0.972554721839897, 0.9458531279136883, 0.9600364072281667, 0.9716956000532789, 0.9396505794077166)","(0.9762731430093682, 0.9874639257647737, 0.9621875416241176, 0.9766896061803491, 0.9866414332016162, 0.967203525285264)","(0.9748261776850331, 0.9800093238023354, 0.9660902188873596, 0.9822472583581228, 0.9885561426097766, 0.9730209119566665)","(0.9735856679838387, 0.9846978644052746, 0.9581117080317897, 0.9805452204413266, 0.9867724104248989, 0.9746658970829819)","(0.9672752297651289, 0.9760489277627314, 0.9500443990587399, 0.9818831860764552, 0.9864083381432314, 0.973901123296186)","(0.9747968743062647, 0.9883230475513919, 0.9662211961106424, 0.9824699196377037, 0.9898736846778848, 0.9778038005594282)"
