 ,2,4,8,16,32,64
standard,"(0.9968609865470852, 1.0, 0.9955156950672646, 0.7573429383297074, 0.9096412556053812, 0.6277227722772277)","(0.9977578475336323, 1.0, 0.9955156950672646, 0.8784833281534431, 0.9296241619677662, 0.824968920658882)","(0.9991031390134529, 1.0, 0.9977578475336323, 0.8936229631931802, 0.9241863872485903, 0.8652488567242375)","(0.9995515695067264, 1.0, 0.9977578475336323, 0.906506904053634, 0.9206999511610353, 0.8750033299294055)","(0.9986547085201793, 1.0, 0.9977578475336323, 0.914088265328775, 0.9266694046086222, 0.896057363583892)","(0.9995515695067264, 1.0, 0.9977578475336323, 0.9033317053678461, 0.9306875194245882, 0.8814467433290414)"
reweight_sampling,"(0.9928251121076233, 0.9977578475336323, 0.984304932735426, 0.933200950139857, 0.9582060560316121, 0.8923955512143142)","(0.9959641255605381, 0.9977578475336323, 0.9932735426008968, 0.9509217244594415, 0.9685288371886516, 0.9187563823646938)","(0.9982062780269059, 1.0, 0.9955156950672646, 0.9476151045597833, 0.9515739466323314, 0.9432313634950938)","(0.9977578475336323, 1.0, 0.9932735426008968, 0.9451502908138347, 0.9546097322736757, 0.9399991120188251)","(0.9995515695067264, 1.0, 0.9977578475336323, 0.9557496781068241, 0.9634185055276828, 0.9483050659326022)","(0.9986547085201793, 1.0, 0.9977578475336323, 0.9545981885184034, 0.9599897882164898, 0.9512831327975847)"
discard,"(0.9147982062780269, 0.9596412556053812, 0.874439461883408, 0.9067903920436887, 0.9267271233849843, 0.8664931403454246)","(0.9434977578475336, 0.9641255605381166, 0.905829596412556, 0.9301924699196377, 0.948407183767704, 0.911854548683568)","(0.9426008968609866, 0.9730941704035875, 0.8901345291479821, 0.917089641699596, 0.9371098432713226, 0.896987523864494)","(0.915695067264574, 0.9439461883408071, 0.8565022421524664, 0.927655285707943, 0.9375238644940727, 0.9200006659858811)","(0.9174887892376682, 0.9484304932735426, 0.8834080717488789, 0.9409179505394485, 0.9584757803134574, 0.9322248368334591)","(0.9502242152466368, 0.968609865470852, 0.92152466367713, 0.9450612707010612, 0.9568230253518626, 0.9316121298228477)"
reweight_loss,"(0.9448430493273543, 0.9663677130044843, 0.899103139013453, 0.9484233894241442, 0.9545520134973139, 0.9439517382231496)","(0.9789237668161435, 0.9955156950672646, 0.9663677130044843, 0.9685696843226923, 0.9748623629179062, 0.9609221684500289)","(0.9852017937219731, 0.9932735426008968, 0.9708520179372198, 0.9707217066998179, 0.9755250188696, 0.965726146605692)","(0.9883408071748879, 0.9955156950672646, 0.9798206278026906, 0.9750954579762909, 0.9854182391333304, 0.9621953114593971)","(0.9874439461883407, 0.9932735426008968, 0.9753363228699552, 0.969861030946144, 0.9775707055010434, 0.9624572659059628)","(0.9896860986547085, 0.9977578475336323, 0.9775784753363229, 0.9734677884828842, 0.9818874039870356, 0.9639790436442747)"
