 ,0.01,0.02,0.05,0.1,0.2
standard,"(0.7251174355103672, 0.784340451982418, 0.6469719841939351, 0.8617142476579497, 0.892170225991209, 0.8203192292323404)","(0.8684962038804778, 0.8886316210096346, 0.8312524974470541, 0.9321107312524974, 0.9438207609998668, 0.9109088487324069)","(0.9494281401234294, 0.9685366070239311, 0.9307974070949696, 0.972662611552635, 0.9821571282688806, 0.9648381654308928)","(0.9671589042312303, 0.9766460951027838, 0.946172801136616, 0.9810460418239133, 0.984661235181814, 0.9699196377036807)","(0.9828455356746437, 0.9895751010078586, 0.9702393109266083, 0.9852217732984061, 0.9891166807263686, 0.9803367668605425)"
reweight_sampling,"(0.9192483239355326, 0.9428672912134263, 0.8977467477689474, 0.957961417217955, 0.9693224703636283, 0.9478832748745727)","(0.9471042933889802, 0.9675465080140301, 0.9217555387825778, 0.9707683257114949, 0.9811670292589796, 0.959756693158105)","(0.9683061759090708, 0.9758602317630867, 0.9625960129645251, 0.9807752075655995, 0.9841373262886827, 0.976384140656218)","(0.9840598499311815, 0.9881920703281091, 0.9776939128890467, 0.9877682813124361, 0.9892476579496514, 0.9858111708031789)","(0.9825951249833503, 0.9877258802113396, 0.9763108822092972, 0.9855580961683612, 0.9873984371531324, 0.9834380411135284)"
discard,"(0.9370523464902544, 0.9530879545353639, 0.9212316298894463, 0.9348830084802202, 0.9548716867202416, 0.9165797185099677)","(0.9457234826621675, 0.9671380366736225, 0.9278848288416286, 0.942405319007237, 0.9600108777693913, 0.9282489011232962)","(0.9709998668028238, 0.9771122852195533, 0.9592327842649735, 0.9683281534431469, 0.9745715490831595, 0.960717932779825)","(0.9809847711228522, 0.9837654841717356, 0.9746658970829818, 0.9827145584513608, 0.9864083381432314, 0.979914975802513)","(0.9855916174577098, 0.9891821693380101, 0.9821204990454202, 0.9848461572614661, 0.9878934866580829, 0.9824190827154464)"
reweight_loss,"(0.9569990676197665, 0.9743306841894952, 0.9308551258713316, 0.9716913821426986, 0.9775995648892244, 0.9622608000710385)","(0.9605718598765706, 0.9707055010433778, 0.9352084535807841, 0.9721047373795675, 0.9784586866758425, 0.9598510411579274)","(0.9752075655996093, 0.9842316742885051, 0.9606158149447231, 0.9807154908315944, 0.9876315322115171, 0.9683323713537273)","(0.9822545842028149, 0.9859499178617414, 0.9796163921324867, 0.9857969631043821, 0.9877625094348, 0.9841006970652222)","(0.9859992008169427, 0.9926763752608445, 0.9791502020157172, 0.9878803889357546, 0.9920503485326111, 0.9832415752786041)"
