 ,0.01,0.02,0.05,0.1,0.2
standard,"(0.9057536740221107, 0.9369999556009412, 0.8664409714514052, 0.9041448741286684, 0.9335923278426497, 0.8558562358477999)","(0.9522057452382009, 0.9566554189051192, 0.9498557030590951, 0.9535394929627491, 0.9579729609732274, 0.9495937486125293)","(0.974863916884962, 0.9825134307152688, 0.9682013941304444, 0.9737019935177373, 0.9795142742973848, 0.9697154020334768)","(0.9813954624161968, 0.9891821693380101, 0.9634551347511433, 0.9806500022199529, 0.9878934866580829, 0.9650712604892776)","(0.9844296940904853, 0.9893131465612929, 0.9771122852195533, 0.982912578253341, 0.9860154064733828, 0.9790192247924344)"
reweight_sampling,"(0.917993162544954, 0.9628579674110909, 0.8765772765617369, 0.9084011898947743, 0.9387104293388979, 0.8842050348532611)","(0.9406628779469876, 0.9690605159170625, 0.8939905873995472, 0.941671846556853, 0.9603460906628779, 0.9172790036851218)","(0.9711423877813791, 0.9828486436087556, 0.9569173733516849, 0.9705614260977667, 0.9751609465879324, 0.9657916352173334)","(0.9794183723305067, 0.9874639257647737, 0.9664254317808463, 0.9791999289615061, 0.9852872619100475, 0.9730209119566665)","(0.9824233006260268, 0.9895751010078586, 0.9782910802290992, 0.9816705145850908, 0.9862118723083071, 0.9718554366647427)"
discard,"(0.905931714247658, 0.9375971229409936, 0.8723083070638903, 0.9106229187941216, 0.9296763308617857, 0.8841473160768992)","(0.9487115393153664, 0.9599453891577499, 0.9296763308617857, 0.9480577631754207, 0.9581694268081516, 0.9321149491630777)","(0.9800093238023354, 0.9895751010078586, 0.9736757980730808, 0.9773507081649869, 0.9850253074634818, 0.9727878168982818)","(0.9788358566798384, 0.9835035297251697, 0.9732828664032322, 0.9798259556897394, 0.9870998534831061, 0.972984282733206)","(0.9849829063623851, 0.990172268347911, 0.9726124406162588, 0.9856031612129823, 0.9919848599209697, 0.9811592594237002)"
reweight_loss,"(0.9229698530391156, 0.9436686942236825, 0.9025085468188074, 0.9198747946543533, 0.9380633130577631, 0.9000410691293345)","(0.9567224614838166, 0.9684056298006483, 0.9413532833103938, 0.9533299294054965, 0.9702104515384273, 0.94018780801847)","(0.9755365626248723, 0.9790192247924344, 0.9708364782666608, 0.9741766194556676, 0.9796818807441282, 0.9702393109266083)","(0.9849043200284153, 0.9890511921147271, 0.9777671713359677, 0.983572126270923, 0.9858189406384584, 0.979943835190694)","(0.9867650845802068, 0.9912933445810949, 0.9822514762687031, 0.9870097233938641, 0.9907982950761445, 0.9836345069484527)"
